topology,propagation_rule,policy,evaluation_threshold,patience_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count,variable_dwell_seed_fraction
branched_path,symmetric_normalized,progress_coupled,0.04,20,150,1.0000,0.45471734,88.027,1.520,0.3000
branched_path,symmetric_normalized,progress_coupled,0.04,30,150,1.0000,0.41589632,70.600,1.520,0.3000
branched_path,symmetric_normalized,progress_coupled,0.04,40,150,1.0000,0.36488790,55.953,1.520,0.3067
branched_path,symmetric_normalized,progress_coupled,0.04,60,150,0.7800,0.21626422,28.800,1.000,0.0000
branched_path,symmetric_normalized,timing_replay,0.0005,1,150,0.4000,0.13947282,34.427,10.300,0.7733
branched_path,symmetric_normalized,timing_replay,0.0005,2,150,0.3867,0.18675931,45.760,1.533,0.1267
branched_path,symmetric_normalized,timing_replay,0.0005,3,150,0.3867,0.18698693,45.427,1.533,0.1267
branched_path,symmetric_normalized,timing_replay,0.0005,4,150,0.4267,0.18745608,45.087,1.533,0.1267
branched_path,symmetric_normalized,timing_replay,0.0005,5,150,0.4867,0.18805610,44.740,1.533,0.1267
branched_path,symmetric_normalized,timing_replay,0.0005,7,150,0.6267,0.19069514,43.793,1.533,0.1267
branched_path,symmetric_normalized,timing_replay,0.0005,10,150,0.7200,0.19424432,42.800,1.533,0.1867
branched_path,symmetric_normalized,timing_replay,0.0005,15,150,0.7200,0.20253739,41.307,1.533,0.2933
branched_path,symmetric_normalized,timing_replay,0.0005,20,150,0.7267,0.21001914,40.300,1.533,0.3000
branched_path,symmetric_normalized,timing_replay,0.0005,30,150,0.7667,0.22270842,36.960,1.533,0.3000
branched_path,symmetric_normalized,timing_replay,0.0005,40,150,0.8200,0.22562709,34.220,1.533,0.3000
branched_path,symmetric_normalized,timing_replay,0.0005,60,150,0.7533,0.20888181,27.600,1.000,0.0000
branched_path,symmetric_normalized,timing_replay,0.001,1,150,0.5000,0.16158100,40.153,12.600,0.9200
branched_path,symmetric_normalized,timing_replay,0.001,2,150,0.3133,0.13959020,34.440,2.067,0.2933
branched_path,symmetric_normalized,timing_replay,0.001,3,150,0.3333,0.16120426,39.627,1.467,0.0933
branched_path,symmetric_normalized,timing_replay,0.001,4,150,0.3800,0.16203084,39.553,1.467,0.0933
branched_path,symmetric_normalized,timing_replay,0.001,5,150,0.4200,0.16304949,39.440,1.467,0.0933
branched_path,symmetric_normalized,timing_replay,0.001,7,150,0.6267,0.16708750,39.047,1.467,0.0933
branched_path,symmetric_normalized,timing_replay,0.001,10,150,0.7467,0.17268117,38.680,1.467,0.1267
branched_path,symmetric_normalized,timing_replay,0.001,15,150,0.7733,0.18508189,38.227,1.467,0.2267
branched_path,symmetric_normalized,timing_replay,0.001,20,150,0.7800,0.19495019,37.733,1.467,0.2333
branched_path,symmetric_normalized,timing_replay,0.001,30,150,0.8067,0.21801210,36.180,1.467,0.2333
branched_path,symmetric_normalized,timing_replay,0.001,40,150,0.8533,0.23155049,34.893,1.467,0.2400
branched_path,symmetric_normalized,timing_replay,0.001,60,150,0.8000,0.22725295,30.800,1.000,0.0000
branched_path,symmetric_normalized,timing_replay,0.002,1,150,0.5333,0.14889923,36.680,18.220,1.0000
branched_path,symmetric_normalized,timing_replay,0.002,2,150,0.3667,0.15202763,36.667,4.120,0.8867
branched_path,symmetric_normalized,timing_replay,0.002,3,150,0.3400,0.16453912,40.120,1.447,0.1333
branched_path,symmetric_normalized,timing_replay,0.002,4,150,0.3600,0.16513770,39.967,1.447,0.1333
branched_path,symmetric_normalized,timing_replay,0.002,5,150,0.4400,0.16607440,39.833,1.447,0.1333
branched_path,symmetric_normalized,timing_replay,0.002,7,150,0.5533,0.16892322,39.173,1.447,0.1333
branched_path,symmetric_normalized,timing_replay,0.002,10,150,0.6267,0.17258524,38.493,1.447,0.1400
branched_path,symmetric_normalized,timing_replay,0.002,15,150,0.6400,0.18018872,37.407,1.447,0.2533
branched_path,symmetric_normalized,timing_replay,0.002,20,150,0.6667,0.18730206,36.587,1.447,0.2667
branched_path,symmetric_normalized,timing_replay,0.002,30,150,0.7133,0.20030901,33.933,1.447,0.2667
branched_path,symmetric_normalized,timing_replay,0.002,40,150,0.7800,0.20512337,31.733,1.447,0.2667
branched_path,symmetric_normalized,timing_replay,0.002,60,150,0.7400,0.18730991,25.600,1.000,0.0000
branched_path,symmetric_normalized,timing_replay,0.005,1,150,0.9800,0.18040204,36.913,36.720,1.0000
branched_path,symmetric_normalized,timing_replay,0.005,2,150,0.6000,0.19010625,44.680,7.220,1.0000
branched_path,symmetric_normalized,timing_replay,0.005,3,150,0.3733,0.14275680,34.780,2.753,0.5200
branched_path,symmetric_normalized,timing_replay,0.005,4,150,0.3800,0.18462510,44.307,1.553,0.1200
branched_path,symmetric_normalized,timing_replay,0.005,5,150,0.4333,0.18520603,43.947,1.553,0.1200
branched_path,symmetric_normalized,timing_replay,0.005,7,150,0.6400,0.18792395,42.967,1.553,0.1200
branched_path,symmetric_normalized,timing_replay,0.005,10,150,0.7533,0.19169604,41.973,1.553,0.1267
branched_path,symmetric_normalized,timing_replay,0.005,15,150,0.7600,0.19986075,40.433,1.553,0.2533
branched_path,symmetric_normalized,timing_replay,0.005,20,150,0.7800,0.20810085,39.380,1.553,0.2867
branched_path,symmetric_normalized,timing_replay,0.005,30,150,0.8467,0.22462579,36.240,1.553,0.2867
branched_path,symmetric_normalized,timing_replay,0.005,40,150,0.8800,0.23046670,33.573,1.553,0.2867
branched_path,symmetric_normalized,timing_replay,0.005,60,150,0.7400,0.20800081,26.800,1.000,0.0000
branched_path,symmetric_normalized,timing_replay,0.01,1,150,1.0000,0.15103910,38.980,66.440,1.0000
branched_path,symmetric_normalized,timing_replay,0.01,2,150,0.9667,0.18746061,36.653,19.073,1.0000
branched_path,symmetric_normalized,timing_replay,0.01,3,150,0.5200,0.12947689,31.047,5.180,0.9733
branched_path,symmetric_normalized,timing_replay,0.01,4,150,0.5000,0.13843346,32.900,2.660,0.5133
branched_path,symmetric_normalized,timing_replay,0.01,5,150,0.4067,0.17777507,42.527,1.440,0.1133
branched_path,symmetric_normalized,timing_replay,0.01,7,150,0.5733,0.18006686,41.680,1.440,0.1133
branched_path,symmetric_normalized,timing_replay,0.01,10,150,0.6467,0.18366130,40.887,1.440,0.1133
branched_path,symmetric_normalized,timing_replay,0.01,15,150,0.6467,0.19016244,39.433,1.440,0.1733
branched_path,symmetric_normalized,timing_replay,0.01,20,150,0.6667,0.19570744,38.140,1.440,0.2400
branched_path,symmetric_normalized,timing_replay,0.01,30,150,0.7133,0.20502086,34.413,1.440,0.2400
branched_path,symmetric_normalized,timing_replay,0.01,40,150,0.7867,0.20650339,31.493,1.440,0.2533
branched_path,symmetric_normalized,timing_replay,0.01,60,150,0.7533,0.18681805,25.200,1.000,0.0000
branched_path,symmetric_normalized,timing_replay,0.02,1,150,1.0000,0.14551859,40.107,77.713,1.0000
branched_path,symmetric_normalized,timing_replay,0.02,2,150,1.0000,0.16017531,39.653,36.587,1.0000
branched_path,symmetric_normalized,timing_replay,0.02,3,150,0.9933,0.17657405,37.707,18.813,1.0000
branched_path,symmetric_normalized,timing_replay,0.02,4,150,0.9800,0.20748286,43.187,8.273,1.0000
branched_path,symmetric_normalized,timing_replay,0.02,5,150,0.7400,0.16930401,38.653,3.413,0.7333
branched_path,symmetric_normalized,timing_replay,0.02,7,150,0.6467,0.19596064,44.973,1.473,0.1333
branched_path,symmetric_normalized,timing_replay,0.02,10,150,0.7333,0.20002483,44.213,1.473,0.1333
branched_path,symmetric_normalized,timing_replay,0.02,15,150,0.7333,0.20777968,42.880,1.473,0.1333
branched_path,symmetric_normalized,timing_replay,0.02,20,150,0.7533,0.21509865,41.867,1.473,0.2667
branched_path,symmetric_normalized,timing_replay,0.02,30,150,0.7933,0.22941693,38.740,1.473,0.2667
branched_path,symmetric_normalized,timing_replay,0.02,40,150,0.8400,0.23351705,36.173,1.473,0.2667
branched_path,symmetric_normalized,timing_replay,0.02,60,150,0.7733,0.21832281,30.000,1.000,0.0000
branched_path,symmetric_normalized,timing_replay,0.04,1,150,1.0000,0.14322415,39.727,79.207,1.0000
branched_path,symmetric_normalized,timing_replay,0.04,2,150,1.0000,0.14887554,39.373,44.040,1.0000
branched_path,symmetric_normalized,timing_replay,0.04,3,150,1.0000,0.16114753,39.080,28.300,1.0000
branched_path,symmetric_normalized,timing_replay,0.04,4,150,1.0000,0.17092520,38.333,19.260,1.0000
branched_path,symmetric_normalized,timing_replay,0.04,5,150,1.0000,0.17452623,36.973,13.287,1.0000
branched_path,symmetric_normalized,timing_replay,0.04,7,150,0.9867,0.17833515,31.993,5.460,1.0000
branched_path,symmetric_normalized,timing_replay,0.04,10,150,0.6800,0.16149430,36.087,1.520,0.1467
branched_path,symmetric_normalized,timing_replay,0.04,15,150,0.6867,0.17136440,35.473,1.520,0.1467
branched_path,symmetric_normalized,timing_replay,0.04,20,150,0.7000,0.18057138,35.053,1.520,0.3000
branched_path,symmetric_normalized,timing_replay,0.04,30,150,0.7333,0.20206494,33.647,1.520,0.3000
branched_path,symmetric_normalized,timing_replay,0.04,40,150,0.7733,0.21481837,32.613,1.520,0.3067
branched_path,symmetric_normalized,timing_replay,0.04,60,150,0.7467,0.21560726,28.800,1.000,0.0000
path,source_normalized,adaptation_only,0.0005,1,150,1.0000,0.44772410,40.000,119.000,0.0000
path,source_normalized,adaptation_only,0.0005,2,150,1.0000,0.45524249,40.000,59.000,0.0000
path,source_normalized,adaptation_only,0.0005,3,150,1.0000,0.45829524,39.000,39.000,0.0000
path,source_normalized,adaptation_only,0.0005,4,150,1.0000,0.46969004,40.000,29.000,0.0000
path,source_normalized,adaptation_only,0.0005,5,150,1.0000,0.47661034,40.000,23.000,0.0000
