topology,propagation_rule,decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
path,source_normalized,3,0.0005,2019,1,1.1715661569,117,1
path,source_normalized,3,0.0005,2020,1,1.0467118204,117,1
path,source_normalized,3,0.0005,2021,1,1.1601697521,117,1
path,source_normalized,3,0.0005,2022,1,1.1351691459,117,1
path,source_normalized,3,0.0005,2023,1,1.2618377525,114,2
path,source_normalized,3,0.0005,2024,1,1.1223398531,102,2
path,source_normalized,3,0.0005,2025,1,1.1775407986,117,1
path,source_normalized,3,0.0005,2026,1,1.1464017143,96,2
path,source_normalized,3,0.0005,2027,1,1.1935995314,117,1
path,source_normalized,3,0.0005,2028,1,1.0807470817,117,1
path,source_normalized,3,0.0005,2029,1,1.0976991757,114,2
path,source_normalized,3,0.0005,2030,1,1.1560445134,117,1
path,source_normalized,3,0.0005,2031,1,1.0743238759,114,2
path,source_normalized,3,0.0005,2032,1,1.1026897520,99,2
path,source_normalized,3,0.0005,2033,1,1.2258222768,114,2
path,source_normalized,3,0.0005,2034,1,1.2387429088,117,1
path,source_normalized,3,0.0005,2035,1,1.1814416161,114,2
path,source_normalized,3,0.0005,2036,1,0.9745535167,114,2
path,source_normalized,3,0.0005,2037,1,1.2121682764,114,2
path,source_normalized,3,0.0005,2038,1,1.1711628615,114,2
path,source_normalized,3,0.0005,2039,1,1.0799568152,117,1
path,source_normalized,3,0.0005,2040,1,1.1699377838,117,1
path,source_normalized,3,0.0005,2041,1,1.2806946087,117,1
path,source_normalized,3,0.0005,2042,1,1.1197447220,117,1
path,source_normalized,3,0.0005,2043,1,1.1449558822,117,1
path,source_normalized,3,0.0005,2044,1,1.0895174834,114,2
path,source_normalized,3,0.0005,2045,1,1.0719552375,117,1
path,source_normalized,3,0.0005,2046,1,1.1562883370,102,2
path,source_normalized,3,0.0005,2047,1,1.1097516757,117,1
path,source_normalized,3,0.0005,2048,1,1.1351494009,99,2
path,source_normalized,3,0.0005,2049,1,1.0602705578,114,2
path,source_normalized,3,0.0005,2050,1,1.1758077936,117,1
path,source_normalized,3,0.0005,2051,1,1.2144375777,117,1
path,source_normalized,3,0.0005,2052,1,1.0314856026,117,1
path,source_normalized,3,0.0005,2053,1,1.2352959003,114,2
path,source_normalized,3,0.0005,2054,1,1.1233058898,117,1
path,source_normalized,3,0.0005,2055,1,1.2802669092,114,2
path,source_normalized,3,0.0005,2056,1,1.0928411915,117,1
path,source_normalized,3,0.0005,2057,1,1.0506084348,114,2
path,source_normalized,3,0.0005,2058,1,1.2602995041,117,1
path,source_normalized,3,0.0005,2059,1,1.1407152588,114,2
path,source_normalized,3,0.0005,2060,1,1.1872368627,117,1
path,source_normalized,3,0.0005,2061,1,1.0842526885,96,2
path,source_normalized,3,0.0005,2062,1,1.0894638693,114,2
path,source_normalized,3,0.0005,2063,1,0.9633273586,96,2
path,source_normalized,3,0.0005,2064,1,1.1138691147,117,1
path,source_normalized,3,0.0005,2065,1,1.0719214307,117,1
path,source_normalized,3,0.0005,2066,1,1.0577312625,114,2
path,source_normalized,3,0.0005,2067,1,1.1713663295,117,1
path,source_normalized,3,0.0005,2068,1,1.1546381144,117,1
path,source_normalized,3,0.0005,2069,1,1.1709071704,96,2
path,source_normalized,3,0.0005,2070,1,1.2169782735,117,1
path,source_normalized,3,0.0005,2071,1,1.2863338845,117,1
path,source_normalized,3,0.0005,2072,1,1.2124781622,114,2
path,source_normalized,3,0.0005,2073,1,1.0862721963,117,1
path,source_normalized,3,0.0005,2074,1,1.0886256575,117,1
path,source_normalized,3,0.0005,2075,1,1.0258492869,117,1
path,source_normalized,3,0.0005,2076,1,1.1030628559,117,1
path,source_normalized,3,0.0005,2077,1,1.2567044352,114,2
path,source_normalized,3,0.0005,2078,1,0.9877956442,117,1
path,source_normalized,3,0.0005,2079,1,1.1770563077,96,2
path,source_normalized,3,0.0005,2080,1,1.2217407585,114,2
path,source_normalized,3,0.0005,2081,1,1.1867058431,117,1
path,source_normalized,3,0.0005,2082,1,0.9859775482,114,2
path,source_normalized,3,0.0005,2083,1,1.1145731102,117,1
path,source_normalized,3,0.0005,2084,1,1.1564293555,117,1
path,source_normalized,3,0.0005,2085,1,1.2999810859,114,2
path,source_normalized,3,0.0005,2086,1,1.1401641259,114,2
path,source_normalized,3,0.0005,2087,1,1.1338957995,114,2
path,source_normalized,3,0.0005,2088,1,1.1728774996,114,2
path,source_normalized,3,0.0005,2089,1,1.0168190713,117,1
path,source_normalized,3,0.0005,2090,1,1.2369464144,117,1
path,source_normalized,3,0.0005,2091,1,1.0814786045,114,2
path,source_normalized,3,0.0005,2092,1,1.1387201656,117,1
path,source_normalized,3,0.0005,2093,1,1.1576002568,114,2
path,source_normalized,3,0.0005,2094,1,1.1246925650,117,1
path,source_normalized,3,0.0005,2095,1,1.1629037111,117,1
path,source_normalized,3,0.0005,2096,1,1.1639957470,117,1
path,source_normalized,3,0.0005,2097,1,1.2678848773,114,2
path,source_normalized,3,0.0005,2098,1,1.2533494568,114,2
path,source_normalized,3,0.0005,2099,1,1.1226597830,117,1
path,source_normalized,3,0.0005,2100,1,1.0854105140,114,2
path,source_normalized,3,0.0005,2101,1,1.1732627059,117,1
path,source_normalized,3,0.0005,2102,1,1.1432084539,102,2
path,source_normalized,3,0.0005,2103,1,1.0589777284,96,2
path,source_normalized,3,0.0005,2104,1,1.1362159070,102,2
path,source_normalized,3,0.0005,2105,1,1.2745369635,114,2
path,source_normalized,3,0.0005,2106,1,1.1947910344,114,2
path,source_normalized,3,0.0005,2107,1,1.1243684957,114,2
path,source_normalized,3,0.0005,2108,1,1.1485369925,117,1
path,source_normalized,3,0.0005,2109,1,1.1356546663,117,1
path,source_normalized,3,0.0005,2110,1,1.2334750826,114,2
path,source_normalized,3,0.0005,2111,1,1.1344745046,117,1
path,source_normalized,3,0.0005,2112,1,1.2210268412,114,2
path,source_normalized,3,0.0005,2113,1,1.1815707485,96,2
path,source_normalized,3,0.0005,2114,1,0.9497723754,96,2
path,source_normalized,3,0.0005,2115,1,1.1053801667,114,2
path,source_normalized,3,0.0005,2116,1,1.1545409363,114,2
path,source_normalized,3,0.0005,2117,1,1.1820097846,102,2
path,source_normalized,3,0.0005,2118,1,1.1910947650,117,1
path,source_normalized,3,0.0005,2119,1,1.1511671313,117,1
path,source_normalized,3,0.0005,2120,1,1.1337503599,114,2
path,source_normalized,3,0.0005,2121,1,0.9488258916,117,1
path,source_normalized,3,0.0005,2122,1,1.1878329853,117,1
path,source_normalized,3,0.0005,2123,1,1.1074627961,117,1
path,source_normalized,3,0.0005,2124,1,1.3001032408,117,1
path,source_normalized,3,0.0005,2125,1,1.2226180644,117,1
path,source_normalized,3,0.0005,2126,1,1.2378538375,99,2
path,source_normalized,3,0.0005,2127,1,1.1902698073,114,2
path,source_normalized,3,0.0005,2128,1,1.1247844994,96,2
path,source_normalized,3,0.0005,2129,1,1.1648876940,117,1
path,source_normalized,3,0.0005,2130,1,1.1292942727,117,1
path,source_normalized,3,0.0005,2131,1,1.1591995894,117,1
