topology,propagation_rule,evaluation_threshold,decision_block_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count
path,source_normalized,0.04,3,150,1.0000,0.98850892,86.740,6.727
path,source_normalized,0.04,4,150,1.0000,1.02626140,89.573,5.080
path,source_normalized,0.04,5,150,1.0000,1.00303639,86.967,4.060
path,source_normalized,0.04,7,150,1.0000,1.06595432,96.227,2.420
path,source_normalized,0.04,10,150,1.0000,1.11538525,102.200,1.460
path,source_normalized,0.04,15,150,1.0000,1.07675629,92.300,1.460
path,source_normalized,0.04,20,150,1.0000,1.02604648,82.800,1.460
path,source_normalized,0.04,30,150,1.0000,0.89149279,64.200,1.280
path,source_normalized,0.04,40,150,1.0000,0.81127607,52.267,1.227
path,source_normalized,0.04,60,150,0.8733,0.61848569,32.400,1.000
path,symmetric_normalized,0.0005,1,150,1.0000,0.64819515,85.193,6.627
path,symmetric_normalized,0.0005,2,150,1.0000,0.78420437,112.040,2.400
path,symmetric_normalized,0.0005,3,150,1.0000,0.79060990,113.720,1.480
path,symmetric_normalized,0.0005,4,150,1.0000,0.78741970,111.253,1.480
path,symmetric_normalized,0.0005,5,150,1.0000,0.78417749,109.067,1.480
path,symmetric_normalized,0.0005,7,150,1.0000,0.77624822,104.460,1.480
path,symmetric_normalized,0.0005,10,150,1.0000,0.75958346,96.600,1.480
path,symmetric_normalized,0.0005,15,150,1.0000,0.72127956,84.600,1.480
path,symmetric_normalized,0.0005,20,150,1.0000,0.67779544,75.067,1.480
path,symmetric_normalized,0.0005,30,150,0.9867,0.54111369,57.200,1.187
path,symmetric_normalized,0.0005,40,150,0.9800,0.50917834,47.733,1.153
path,symmetric_normalized,0.0005,60,150,0.8467,0.41249036,31.200,1.000
path,symmetric_normalized,0.001,1,150,1.0000,0.68161548,90.000,7.540
path,symmetric_normalized,0.001,2,150,1.0000,0.75667983,101.293,3.847
path,symmetric_normalized,0.001,3,150,1.0000,0.79037867,113.420,1.547
path,symmetric_normalized,0.001,4,150,1.0000,0.78662643,110.640,1.547
path,symmetric_normalized,0.001,5,150,1.0000,0.78269782,108.167,1.547
path,symmetric_normalized,0.001,7,150,1.0000,0.77413506,103.433,1.547
path,symmetric_normalized,0.001,10,150,1.0000,0.75383965,94.667,1.547
path,symmetric_normalized,0.001,15,150,1.0000,0.70894117,81.600,1.547
path,symmetric_normalized,0.001,20,150,1.0000,0.65507583,70.667,1.547
path,symmetric_normalized,0.001,30,150,0.9800,0.50143725,51.400,1.193
path,symmetric_normalized,0.001,40,150,0.9733,0.46259915,42.133,1.147
path,symmetric_normalized,0.001,60,150,0.8533,0.37323397,27.200,1.000
path,symmetric_normalized,0.002,1,150,1.0000,0.66819727,89.047,8.873
path,symmetric_normalized,0.002,2,150,1.0000,0.75034340,99.907,4.180
path,symmetric_normalized,0.002,3,150,1.0000,0.77353122,108.920,2.160
path,symmetric_normalized,0.002,4,150,1.0000,0.78780735,111.253,1.540
path,symmetric_normalized,0.002,5,150,1.0000,0.78408262,108.733,1.540
path,symmetric_normalized,0.002,7,150,1.0000,0.77650571,104.413,1.540
path,symmetric_normalized,0.002,10,150,1.0000,0.75776833,96.200,1.540
path,symmetric_normalized,0.002,15,150,1.0000,0.71412145,83.100,1.540
path,symmetric_normalized,0.002,20,150,1.0000,0.66412187,72.667,1.540
path,symmetric_normalized,0.002,30,150,1.0000,0.53042597,54.200,1.240
path,symmetric_normalized,0.002,40,150,0.9467,0.46525565,42.667,1.147
path,symmetric_normalized,0.002,60,150,0.8533,0.37520767,27.600,1.000
path,symmetric_normalized,0.005,1,150,1.0000,0.65379609,84.513,11.667
path,symmetric_normalized,0.005,2,150,1.0000,0.73280107,96.840,5.533
path,symmetric_normalized,0.005,3,150,1.0000,0.72487802,93.120,3.833
path,symmetric_normalized,0.005,4,150,1.0000,0.77901205,109.840,1.793
path,symmetric_normalized,0.005,5,150,1.0000,0.78536175,109.033,1.553
path,symmetric_normalized,0.005,7,150,1.0000,0.77763654,104.273,1.553
path,symmetric_normalized,0.005,10,150,1.0000,0.76117411,96.467,1.553
path,symmetric_normalized,0.005,15,150,1.0000,0.72577415,83.800,1.553
path,symmetric_normalized,0.005,20,150,1.0000,0.66932517,71.600,1.553
path,symmetric_normalized,0.005,30,150,1.0000,0.52265268,53.000,1.233
path,symmetric_normalized,0.005,40,150,0.9800,0.46770740,41.867,1.153
path,symmetric_normalized,0.005,60,150,0.8533,0.37662979,26.800,1.000
path,symmetric_normalized,0.01,1,150,1.0000,0.65136077,82.440,14.833
path,symmetric_normalized,0.01,2,150,1.0000,0.67816974,86.667,7.180
path,symmetric_normalized,0.01,3,150,1.0000,0.72170797,94.780,4.607
path,symmetric_normalized,0.01,4,150,1.0000,0.72975644,95.760,3.660
path,symmetric_normalized,0.01,5,150,1.0000,0.76819986,106.100,1.980
path,symmetric_normalized,0.01,7,150,1.0000,0.77627365,105.207,1.507
path,symmetric_normalized,0.01,10,150,1.0000,0.75984603,98.533,1.507
path,symmetric_normalized,0.01,15,150,1.0000,0.72854273,88.000,1.507
path,symmetric_normalized,0.01,20,150,1.0000,0.66662833,75.467,1.507
path,symmetric_normalized,0.01,30,150,1.0000,0.56445253,58.200,1.253
path,symmetric_normalized,0.01,40,150,1.0000,0.50377305,46.400,1.173
path,symmetric_normalized,0.01,60,150,0.8667,0.40186627,29.600,1.000
path,symmetric_normalized,0.02,1,150,1.0000,0.66340957,85.000,18.800
path,symmetric_normalized,0.02,2,150,1.0000,0.65749677,82.533,9.467
path,symmetric_normalized,0.02,3,150,1.0000,0.69564830,90.080,5.947
path,symmetric_normalized,0.02,4,150,1.0000,0.72832174,94.107,4.193
path,symmetric_normalized,0.02,5,150,1.0000,0.69091500,87.267,3.747
path,symmetric_normalized,0.02,7,150,1.0000,0.78457168,108.287,1.540
path,symmetric_normalized,0.02,10,150,1.0000,0.76914426,100.333,1.540
path,symmetric_normalized,0.02,15,150,1.0000,0.73844584,88.800,1.540
path,symmetric_normalized,0.02,20,150,1.0000,0.69040388,77.467,1.540
path,symmetric_normalized,0.02,30,150,1.0000,0.57243718,57.800,1.313
path,symmetric_normalized,0.02,40,150,1.0000,0.50427579,45.867,1.227
path,symmetric_normalized,0.02,60,150,0.8467,0.37282108,27.600,1.000
path,symmetric_normalized,0.04,1,150,1.0000,0.63237981,78.613,25.653
path,symmetric_normalized,0.04,2,150,1.0000,0.66192163,82.800,12.793
path,symmetric_normalized,0.04,3,150,1.0000,0.67696702,85.040,8.373
path,symmetric_normalized,0.04,4,150,1.0000,0.70471396,89.867,6.080
path,symmetric_normalized,0.04,5,150,1.0000,0.72314082,91.567,4.713
path,symmetric_normalized,0.04,7,150,1.0000,0.71668976,91.647,3.273
path,symmetric_normalized,0.04,10,150,1.0000,0.77867338,104.733,1.460
path,symmetric_normalized,0.04,15,150,1.0000,0.75471937,94.300,1.460
path,symmetric_normalized,0.04,20,150,1.0000,0.72551520,85.333,1.460
path,symmetric_normalized,0.04,30,150,1.0000,0.63708027,66.800,1.320
path,symmetric_normalized,0.04,40,150,1.0000,0.55163559,52.267,1.227
path,symmetric_normalized,0.04,60,150,0.8467,0.41376070,32.400,1.000
