decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
3,0.0005,1128,1,1.1252643261,117,1
3,0.0005,1129,1,1.0765791885,114,2
3,0.0005,1130,1,1.1756641703,114,2
3,0.0005,1131,1,1.1203074688,114,2
3,0.0005,1132,1,1.2139697653,117,1
3,0.0005,1133,1,1.1438873127,114,2
3,0.0005,1134,1,1.0411023576,96,2
3,0.0005,1135,1,1.0798568845,117,1
3,0.0005,1136,1,1.2180525390,114,2
3,0.0005,1137,1,1.1207369320,117,1
3,0.0005,1138,1,1.1964455735,117,1
3,0.0005,1139,1,1.0446561116,117,1
3,0.0005,1140,1,1.1234706395,117,1
3,0.0005,1141,1,1.1033704700,117,1
3,0.0005,1142,1,1.1690232233,117,1
3,0.0005,1143,1,1.2120856389,117,1
3,0.0005,1144,1,1.1509626461,117,1
3,0.0005,1145,1,1.1292122891,117,1
3,0.0005,1146,1,1.1351315914,117,1
3,0.0005,1147,1,1.0601384132,117,1
3,0.0005,1148,1,1.1743764339,117,1
3,0.0005,1149,1,1.1681093145,117,1
3,0.0005,1150,1,1.2199291846,117,1
3,0.0005,1151,1,1.2217994286,117,1
3,0.0005,1152,1,1.1634048964,114,2
3,0.0005,1153,1,1.2485345471,117,1
3,0.0005,1154,1,1.0355062003,117,1
3,0.0005,1155,1,1.2218045036,117,1
3,0.0005,1156,1,1.0960242707,114,2
3,0.0005,1157,1,1.1375882050,114,2
3,0.0005,1158,1,1.0126524588,117,1
3,0.0005,1159,1,1.1992308361,117,1
3,0.0005,1160,1,1.0705169804,117,1
3,0.0005,1161,1,1.0594815674,114,2
3,0.0005,1162,1,1.0125572195,117,1
3,0.0005,1163,1,1.2225644153,117,1
3,0.0005,1164,1,1.2832762490,114,2
3,0.0005,1165,1,0.9921567818,96,2
3,0.0005,1166,1,1.2185202857,114,2
3,0.0005,1167,1,1.1431934389,114,2
3,0.0005,1168,1,1.1112508813,114,2
3,0.0005,1169,1,1.0564396371,117,1
3,0.0005,1170,1,1.1498054964,114,2
3,0.0005,1171,1,1.0993647722,117,1
3,0.0005,1172,1,1.1812418611,117,1
3,0.0005,1173,1,1.0760936967,117,1
3,0.0005,1174,1,1.1788359663,114,2
3,0.0005,1175,1,1.1843948297,117,1
3,0.0005,1176,1,1.0666088633,114,2
3,0.0005,1177,1,1.1466003333,117,1
3,0.0005,1178,1,1.0789559751,117,1
3,0.0005,1179,1,1.0406025852,114,2
3,0.0005,1180,1,1.1307095545,117,1
3,0.0005,1181,1,1.1389054399,117,1
3,0.0005,1182,1,1.0134861730,96,2
3,0.0005,1183,1,1.0796788225,114,2
3,0.0005,1184,1,1.0384212591,96,2
3,0.0005,1185,1,1.0942003653,117,1
3,0.0005,1186,1,1.1733600015,96,2
3,0.0005,1187,1,1.1264258051,117,1
3,0.0005,1188,1,1.1986905660,114,2
3,0.0005,1189,1,1.1160487123,114,2
3,0.0005,1190,1,1.1459033077,114,2
3,0.0005,1191,1,1.1096020848,117,1
3,0.0005,1192,1,1.0631440977,117,1
3,0.0005,1193,1,1.1907363005,117,1
3,0.0005,1194,1,1.0874597925,114,2
3,0.0005,1195,1,1.1284513005,96,2
3,0.0005,1196,1,1.2074791614,114,2
3,0.0005,1197,1,1.0331040385,117,1
