decision_block_steps,evaluation_threshold,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,switch_count,first_useful_entry_step
15,0.001,19,1,19,1.1353694105,2,105,1,15
15,0.001,20,1,16,1.1005021616,2,105,1,15
15,0.001,21,1,32,1.1549690466,2,90,2,30
15,0.001,22,1,16,0.9515391582,2,105,1,15
15,0.001,23,1,16,0.7619998928,2,30,2,90
15,0.001,24,1,19,1.1094093360,2,105,1,15
15,0.001,25,1,19,1.2318271218,2,105,1,15
15,0.001,26,1,19,1.0043038843,2,105,1,15
15,0.001,27,1,18,1.1723604638,2,105,1,15
15,0.001,28,1,17,0.8158324376,2,45,2,75
15,0.001,29,1,18,1.1122046429,2,105,1,15
15,0.001,30,1,33,1.0120414305,2,90,2,30
15,0.001,31,1,19,1.1173921393,2,105,1,15
15,0.001,32,1,17,0.9016046241,2,60,2,60
15,0.001,33,1,16,0.9147294825,2,45,2,75
15,0.001,34,1,31,1.1116973651,2,90,2,30
15,0.001,35,1,16,1.1612938924,2,105,1,15
15,0.001,36,1,17,1.0952522811,2,45,2,75
15,0.001,37,1,18,0.9908526744,2,105,1,15
15,0.001,38,1,16,0.6974042156,2,30,2,90
15,0.001,39,1,32,1.0744396723,2,90,2,30
15,0.001,40,1,16,1.2002547574,2,105,1,15
15,0.001,41,1,19,1.0472561222,2,105,1,15
15,0.001,42,1,31,0.9756493834,2,90,2,30
15,0.001,43,1,33,1.1510741778,2,90,2,30
15,0.001,44,1,17,1.1084242378,2,60,2,60
15,0.001,45,1,19,1.1439819888,2,105,1,15
15,0.001,46,1,19,1.0207338739,2,105,1,15
15,0.001,47,1,16,0.7101820639,2,30,2,90
15,0.001,48,1,16,1.0713065401,2,105,1,15
15,0.001,49,1,18,1.1596561715,2,105,1,15
15,0.001,50,1,32,1.0471264769,2,90,2,30
15,0.001,51,1,19,1.1319000280,2,105,1,15
15,0.001,52,1,19,0.9560350268,2,105,1,15
15,0.001,53,1,32,1.0984159589,2,90,2,30
15,0.001,54,1,31,0.9545833141,2,90,2,30
15,0.001,55,1,19,1.2356741378,2,105,1,15
15,0.001,56,1,19,1.0498081932,2,105,1,15
15,0.001,57,1,16,1.2061909697,2,105,1,15
15,0.001,58,1,61,0.9689672277,2,60,2,60
15,0.001,59,1,19,1.2787864958,2,105,1,15
15,0.001,60,1,19,1.1388467032,2,105,1,15
15,0.001,61,1,31,1.0973308979,2,90,2,30
15,0.001,62,1,61,0.9146492160,2,60,2,60
15,0.001,63,1,33,1.0615130245,2,90,2,30
15,0.001,64,1,16,0.5730181854,3,30,2,90
15,0.001,65,1,61,0.8994975897,2,60,2,60
15,0.001,66,1,18,1.1744203534,2,105,1,15
15,0.001,67,1,17,1.0651904000,2,45,2,75
15,0.001,68,1,16,1.1613174959,2,105,1,15
15,0.001,69,1,46,0.9679302877,2,75,2,45
15,0.001,70,1,18,0.8584470492,2,60,2,60
15,0.001,71,1,19,1.1236215931,2,105,1,15
15,0.001,72,1,16,1.2553931806,2,105,1,15
15,0.001,73,1,16,1.1726968871,2,105,1,15
15,0.001,74,1,33,0.9967431054,2,90,2,30
15,0.001,75,1,16,0.6548274354,2,30,2,90
15,0.001,76,1,16,1.0832126406,2,30,2,90
15,0.001,77,1,19,1.0084974676,2,105,1,15
15,0.001,78,1,26,0.6836595774,2,45,2,75
15,0.001,79,1,19,1.1465815102,2,105,1,15
15,0.001,80,1,20,0.9019320986,2,60,2,60
15,0.001,81,1,18,1.1124372432,2,105,1,15
15,0.001,82,1,18,1.1557331903,2,105,1,15
15,0.001,83,1,61,0.9400738088,2,60,2,60
15,0.001,84,1,16,0.8300181951,2,30,2,90
15,0.001,85,1,31,1.1301880171,2,90,2,30
15,0.001,86,1,31,0.9971144161,2,90,2,30
15,0.001,87,1,16,0.5496778193,3,30,2,90
15,0.001,88,1,18,1.0945649643,2,105,1,15
15,0.001,89,1,32,1.1943839756,2,90,2,30
15,0.001,90,1,33,1.0312547800,2,90,2,30
15,0.001,91,1,19,1.1475433455,2,105,1,15
15,0.001,92,1,16,0.7573551825,2,30,2,90
15,0.001,93,1,16,1.0741531831,2,105,1,15
15,0.001,94,1,18,1.0280492984,2,105,1,15
15,0.001,95,1,63,0.9366458415,2,60,2,60
15,0.001,96,1,19,1.2157035124,2,105,1,15
15,0.001,97,1,16,1.0700374489,2,45,2,75
15,0.001,98,1,19,1.2117022433,2,105,1,15
15,0.001,99,1,61,0.9026643809,2,60,2,60
20,0.001,0,1,43,1.0041816852,2,80,2,40
20,0.001,1,1,23,1.2405578248,2,100,1,20
20,0.001,2,1,21,1.1242339394,2,100,1,20
20,0.001,3,1,41,1.0689518531,2,80,2,40
20,0.001,4,1,41,1.0515607134,2,80,2,40
